SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C1,2012,1,1667.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%,0.05998800239952009%
C2,2012,2,4114.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C3,2012,3,2999.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C4,2012,4,1018.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%,0.09823182711198428%
C5,2012,5,922.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.10845986984815618%,0.10845986984815618%,0.10845986984815618%,0.10845986984815618%,0.21691973969631237%,0.21691973969631237%,0.21691973969631237%,0.21691973969631237%,0.21691973969631237%,0.21691973969631237%,0.21691973969631237%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%,0.32537960954446854%
C6,2012,6,1413.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%,0.07077140835102619%
C7,2012,7,1230.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C8,2012,8,2641.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%,0.03786444528587656%
C9,2012,9,1729.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%,0.11567379988432619%
CA,2012,10,3923.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CB,2012,11,2572.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CC,2012,12,2011.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%,0.04972650422675286%
D1,2013,1,3568.0,0.0%,0.0%,0.0%,0.0%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%,0.028026905829596414%
D2,2013,2,2869.0,0.0%,0.0%,0.0%,0.0%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%,0.03485535029627048%
D3,2013,3,5765.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.03469210754553339%,0.03469210754553339%,0.03469210754553339%,0.03469210754553339%,0.03469210754553339%,0.03469210754553339%,0.03469210754553339%,0.03469210754553339%,0.05203816131830009%,0.05203816131830009%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%,0.08673026886383348%
D4,2013,4,5570.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%,0.03590664272890485%
D5,2013,5,3617.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
D6,2013,6,2851.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
D7,2013,7,3923.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%,0.025490695895997964%
D8,2013,8,2913.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%,0.03432887058015791%
D9,2013,9,2309.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
DA,2013,10,1903.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
DB,2013,11,4125.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.024242424242424242%,0.024242424242424242%,0.024242424242424242%,0.024242424242424242%,0.024242424242424242%,0.024242424242424242%,0.024242424242424242%,0.024242424242424242%
DC,2013,12,3706.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E1,2014,1,2121.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E2,2014,2,1868.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E3,2014,3,734.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E4,2014,4,775.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E5,2014,5,697.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E6,2014,6,3056.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E7,2014,7,1309.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
E8,2014,8,1240.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
