SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
B9,2011,9,295817.0,0.0%,0.0050707024951236745%,0.013183826487321554%,0.022649137811552412%,0.028395933972692577%,0.035156870632857475%,0.042593900959038866%,0.04834069712017903%,0.05543968061335218%,0.06355280460555006%,0.07403225642880565%,0.08586389558409423%,0.09532920690832508%,0.1044564713995477%,0.11561201688881978%,0.12947193704215781%,0.1321763117062238%,0.13555678003630622%,0.1419796698634629%,0.14840255969061955%,0.1548254495177762%,0.16023419884590812%,0.16665708867306478%,0.17612239999729565%,0.1842355239894935%,0.19201060114868315%,0.19877153780884804%,0.20756075546706243%,0.21398364529421907%,0.21837825412332626%,0.22412505028446641%,0.2308859869446313%,0.2329142679426808%,0.23426645527471374%,0.2376469236047962%,0.24001325143585395%
BA,2011,10,232898.0,0.0%,0.002146862575032847%,0.008587450300131388%,0.026191723415400735%,0.03477917371553212%,0.047660349165729206%,0.054959681920840886%,0.0674114848560314%,0.08201015036625475%,0.092744463241419%,0.10304940360157666%,0.11163685390170805%,0.12280053929187885%,0.13095861707700368%,0.13997543989214162%,0.1446985375572139%,0.14899226270727958%,0.15800908552241755%,0.16316155570249638%,0.1683140258825752%,0.17174900600262777%,0.18119520133277228%,0.1910707691779234%,0.20395194462812047%,0.20738692474817302%,0.21168064989823873%,0.22155621774338982%,0.22499119786344238%,0.22842617798349493%,0.23486676570859347%,0.24259547097871173%,0.247318568643784%,0.25204166630885627%,0.2563353914589219%,0.2589116265489614%,0.26234660666901394%
BB,2011,11,394745.0,0.00025332809788597703%,0.003293265272517701%,0.00683985864292138%,0.015199685873158623%,0.02457282549493977%,0.03166601223574713%,0.04179913615118621%,0.05193226006662528%,0.06409200876515218%,0.07979835083408277%,0.09449138051146944%,0.10918441018885609%,0.1223574712789269%,0.13477054807533978%,0.13806381334785747%,0.1423703910119191%,0.15275684302524414%,0.15782340498296368%,0.16491659172377104%,0.1707431379751485%,0.17910296520538574%,0.187462792435623%,0.19911588493837792%,0.21000899314747495%,0.21684885179039634%,0.22394203853120367%,0.22875527239103727%,0.2335685062508708%,0.24294164587265196%,0.25079481690711725%,0.25383475408174894%,0.25738134745215263%,0.2634612218014161%,0.2675144713675917%,0.27106106473799546%,0.2735943457168552%
BC,2011,12,251246.0,0.0%,0.0007960325736529138%,0.007164293162876224%,0.013532553752099535%,0.016318667759884734%,0.020696846914975763%,0.026269074930546157%,0.03383138438024884%,0.038607579822166324%,0.04258774269043089%,0.04457782412456318%,0.04895600327965421%,0.05214013357426586%,0.052538149861092315%,0.052936166147918774%,0.053732198721571686%,0.054528231295224605%,0.05651831272935688%,0.057314345303009794%,0.058906410450315624%,0.06169252445810083%,0.06567268732636539%,0.06686673618684477%,0.06806078504732414%,0.0692548339078035%,0.0692548339078035%,0.07044888276828289%,0.07243896420241516%,0.07442904563654745%,0.07602111078385328%,0.07840920850481202%,0.08000127365211784%,0.0803992899389443%,0.08119532251259722%,0.08159333879942367%,0.08199135508625012%
C1,2012,1,156495.0,0.0%,0.0038339883063356656%,0.008945972714783219%,0.014696955174286718%,0.023003929838013994%,0.030032908399629382%,0.040895875267580435%,0.048563851880251765%,0.05431483433975526%,0.05750982459503498%,0.0607048148503147%,0.06517780120770632%,0.06837279146298604%,0.06837279146298604%,0.0722067797693217%,0.07476277197354547%,0.07604076807565736%,0.07731876417776926%,0.08115275248410492%,0.08626473689255248%,0.08945972714783221%,0.09329371545416786%,0.09776670181155947%,0.10032269401578325%,0.10096169206683919%,0.10223968816895107%,0.10223968816895107%,0.10415668232211892%,0.10479568037317485%,0.10862966867951052%,0.1111856608837343%,0.11310265503690214%,0.11310265503690214%,0.11501964919006996%,0.11501964919006996%,0.11629764529218185%
C2,2012,2,193545.0,0.0005166757084915653%,0.00878348704435661%,0.023767082590612002%,0.028933839675527658%,0.037717326719884266%,0.04805084088971557%,0.05373427368312279%,0.05735100364256374%,0.05890103076803844%,0.061484409310496264%,0.06355111214446252%,0.06716784210390349%,0.06768451781239505%,0.07181792348032758%,0.07698468056524323%,0.08008473481619262%,0.08318478906714201%,0.08576816760959984%,0.0878348704435661%,0.09300162752848175%,0.09455165465395644%,0.09765170890490583%,0.09920173603038052%,0.09971841173887211%,0.10023508744736367%,0.10230179028132991%,0.10333514169831307%,0.10591852024077089%,0.10643519594926246%,0.10798522307473714%,0.10953525020021185%,0.11108527732568653%,0.11366865586814436%,0.11366865586814436%,0.11366865586814436%,0.11470200728512749%
C3,2012,3,92583.0,0.0%,0.008640895196742382%,0.022682349891448753%,0.029163021289005542%,0.04212436408411912%,0.050765259280861494%,0.05940615447760388%,0.06048626637719668%,0.06480671397556786%,0.06588682587516066%,0.06804704967434626%,0.07020727347353185%,0.07668794487108864%,0.07884816867027424%,0.08100839246945983%,0.08316861626864544%,0.08748906386701663%,0.0950498471641662%,0.09937029476253739%,0.1004504066621302%,0.1026106304613158%,0.1047708542605014%,0.1047708542605014%,0.1047708542605014%,0.10693107805968699%,0.10801118995927977%,0.11017141375846537%,0.11125152565805818%,0.11341174945724378%,0.11449186135683656%,0.11773219705561497%,0.11989242085480055%,0.12097253275439336%,0.12205264465398614%,0.12313275655357896%,0.12313275655357896%
C4,2012,4,36003.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.0027775463155848123%,0.008332638946754439%,0.008332638946754439%,0.008332638946754439%,0.008332638946754439%,0.008332638946754439%,0.008332638946754439%,0.008332638946754439%,0.008332638946754439%,0.008332638946754439%,0.01111018526233925%,0.01111018526233925%
C5,2012,5,39225.0,0.0%,0.0025493945188017845%,0.022944550669216062%,0.045889101338432124%,0.05353728489483748%,0.05608667941363926%,0.05608667941363926%,0.058636073932441045%,0.058636073932441045%,0.058636073932441045%,0.06373486297004462%,0.06373486297004462%,0.0662842574888464%,0.0662842574888464%,0.07138304652644997%,0.07903123008285531%,0.08922880815806246%,0.10197578075207138%,0.10197578075207138%,0.10197578075207138%,0.10452517527087316%,0.10707456978967496%,0.10962396430847675%,0.10962396430847675%,0.11217335882727852%,0.12492033142128744%,0.12492033142128744%,0.12492033142128744%,0.130019120458891%,0.13511790949649458%,0.14021669853409816%,0.14021669853409816%,0.14021669853409816%,0.14021669853409816%,0.14021669853409816%,0.14021669853409816%
C6,2012,6,30124.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
