SN,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01
F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5.0,2.0,12.0,8.0,4.0,5.0,5.0,8.0,5.0,6.0,10.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,7.0,2.0,8.0,6.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,2.0,5.0,1.0,1.0,1.0
F8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,4.0,4.0,6.0,7.0,2.0,12.0,9.0,7.0,2.0,3.0,5.0,2.0,2.0,8.0,3.0,0.0,3.0,1.0,2.0,7.0,5.0,6.0,2.0,6.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,5.0
F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,5.0,1.0,4.0,5.0,9.0,5.0,4.0,7.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5.0,3.0,2.0,10.0,8.0,5.0,3.0,4.0,8.0,3.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,6.0,7.0,2.0,7.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,8.0,9.0,3.0,6.0,8.0,7.0,4.0,1.0,5.0,1.0,4.0,9.0,6.0,3.0,1.0,1.0,9.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0
FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,7.0,4.0,5.0,19.0,1.0,5.0,4.0,2.0,4.0,4.0,0.0,3.0,6.0,3.0,5.0,4.0,2.0,4.0,6.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,4.0
G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.0,8.0,5.0,10.0,11.0,11.0,6.0,3.0,16.0,5.0,3.0,5.0,3.0,2.0,8.0,8.0,13.0,4.0,10.0,2.0,4.0,4.0,4.0,1.0,7.0,1.0,4.0,5.0
G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,2.0,5.0,8.0,7.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,6.0,3.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
G3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,4.0,8.0,3.0,4.0,1.0,3.0,3.0,2.0,7.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0
G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,3.0,4.0,2.0,4.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
