SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
G5,2016,5,99410.0,0.0%,0.0%,0.0010059350165979278%,0.0010059350165979278%,0.004023740066391711%,0.0050296750829896385%,0.0050296750829896385%,0.008047480132783422%,0.008047480132783422%,0.00905341514938135%,0.00905341514938135%,0.00905341514938135%,0.010059350165979277%,0.011065285182577204%,0.011065285182577204%,0.014083090232370988%,0.014083090232370988%,0.014083090232370988%,0.014083090232370988%,0.015089025248968916%,0.015089025248968916%,0.015089025248968916%,0.015089025248968916%,0.015089025248968916%,0.015089025248968916%,0.015089025248968916%,,,,,,,,,,
G6,2016,6,156199.0,0.0%,0.0%,0.0006402089642059168%,0.0032010448210295843%,0.005121671713647334%,0.008322716534676918%,0.010243343427294669%,0.011523761355706503%,0.013444388248324253%,0.01600522410514792%,0.016645433069353836%,0.017285642033559753%,0.017925850997765672%,0.017925850997765672%,0.020486686854589337%,0.021767104783001173%,0.023047522711413006%,0.023047522711413006%,0.023687731675618922%,0.024327940639824838%,0.024327940639824838%,0.024327940639824838%,0.024327940639824838%,0.024968149604030754%,0.02624856753244259%,,,,,,,,,,,
G7,2016,7,175722.0,0.0%,0.0%,0.0017072421210776114%,0.003983564949181092%,0.005121726363232834%,0.006259887777284574%,0.007398049191336316%,0.008536210605388056%,0.009105291312413928%,0.009674372019439796%,0.011950694847543278%,0.01365793696862089%,0.01593425979672437%,0.018779663331853724%,0.020486905452931334%,0.021625066866983077%,0.022194147574008945%,0.022763228281034817%,0.023901389695086556%,0.023901389695086556%,0.023901389695086556%,0.024470470402112428%,0.025608631816164167%,0.025608631816164167%,,,,,,,,,,,,
G8,2016,8,204021.0,0.0%,0.0%,0.0009802912445287496%,0.0014704368667931244%,0.004901456222643747%,0.005391601844908122%,0.007842329956229997%,0.00931276682302312%,0.009802912445287495%,0.010783203689816244%,0.011763494934344995%,0.012743786178873742%,0.014214223045666866%,0.016664951156988742%,0.018135388023781864%,0.01862553364604624%,0.019115679268310617%,0.019115679268310617%,0.019115679268310617%,0.019115679268310617%,0.01960582489057499%,0.020095970512839366%,0.02058611613510374%,,,,,,,,,,,,,
G9,2016,9,213245.0,0.0%,0.0004689441721963001%,0.0004689441721963001%,0.005158385894159301%,0.0065652184107482005%,0.0084409950995334%,0.0098478276161223%,0.011254660132711201%,0.0121925484771038%,0.014068325165889%,0.014537269338085301%,0.0159441018546742%,0.017350934371263102%,0.0178198785434594%,0.018757766887852%,0.018757766887852%,0.0192267110600483%,0.0192267110600483%,0.020633543576637204%,0.021102487748833502%,0.0220403760932261%,0.0220403760932261%,,,,,,,,,,,,,,
GA,2016,10,176119.0,0.0%,0.0%,0.007949170731153369%,0.00965256445925766%,0.00965256445925766%,0.00965256445925766%,0.011355958187361955%,0.01249155400609815%,0.013627149824834345%,0.01476274564357054%,0.015898341462306738%,0.01703393728104293%,0.018169533099779128%,0.018737331009147224%,0.01930512891851532%,0.01987292682788342%,0.01987292682788342%,0.021008522646619617%,0.02157632055598771%,0.02271191637472391%,0.023279714284092007%,,,,,,,,,,,,,,,
GB,2016,11,228967.0,0.0%,0.0%,0.0004367441596387252%,0.0004367441596387252%,0.0004367441596387252%,0.0017469766385549007%,0.002183720798193626%,0.003930697436748527%,0.005677674075303428%,0.0061144182349421525%,0.006987906554219603%,0.008734883192774504%,0.008734883192774504%,0.009608371512051954%,0.01004511567169068%,0.010918603990968131%,0.011355348150606856%,0.011792092310245582%,0.012665580629523034%,0.013102324789161757%,,,,,,,,,,,,,,,,
GC,2016,12,235965.0,0.0%,0.0%,0.0%,0.0008475833280359376%,0.0008475833280359376%,0.0025427499841078126%,0.0033903333121437502%,0.004661708304197656%,0.005933083296251563%,0.007204458288305469%,0.007628249952323438%,0.008475833280359375%,0.011018583264467188%,0.011018583264467188%,0.011018583264467188%,0.011442374928485157%,0.011442374928485157%,0.011442374928485157%,0.011442374928485157%,,,,,,,,,,,,,,,,,
H1,2017,1,224348.0,0.0%,0.0%,0.0013372082657300264%,0.0013372082657300264%,0.0013372082657300264%,0.0013372082657300264%,0.0017829443543067023%,0.002674416531460053%,0.0035658887086134046%,0.0035658887086134046%,0.00401162479719008%,0.00401162479719008%,0.00401162479719008%,0.004457360885766756%,0.004457360885766756%,0.005348833062920106%,0.005348833062920106%,0.0066860413286501325%,,,,,,,,,,,,,,,,,,
H2,2017,2,202393.0,0.0%,0.0%,0.0009881764685537543%,0.0009881764685537543%,0.002964529405661263%,0.004446794108491895%,0.0049408823427687714%,0.0049408823427687714%,0.0049408823427687714%,0.0049408823427687714%,0.005929058811322526%,0.006423147045599403%,0.006423147045599403%,0.006423147045599403%,0.007411323514153157%,0.007411323514153157%,0.008399499982706912%,,,,,,,,,,,,,,,,,,,
