SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
D3,2013,3,230774.0,0.0%,0.002166621889814277%,0.01039978507110853%,0.01819962387443993%,0.03336597710313987%,0.04939897908776551%,0.058065466647022626%,0.06326535918257689%,0.06543198107239118%,0.06759860296220545%,0.06889857609609401%,0.06933190047405687%,0.07149852236387115%,0.07409846863164828%,0.0766984148994254%,0.0797316855451654%,0.08536490245868253%,0.0875315243484968%,0.08796484872645965%,0.08926482186034822%,0.08969814623831107%,0.09056479499423678%,0.09099811937219963%,0.09143144375016249%,0.09186476812812536%,0.09229809250608821%,0.09229809250608821%,0.09359806563997677%,0.09489803877386535%,0.09533136315182819%,0.09576468752979105%,0.0961980119077539%,0.09706466066367962%,0.09793130941960532%,0.09879795817553103%,0.09879795817553103%
D4,2013,4,107513.0,0.0%,0.013951801177532018%,0.04929636416061313%,0.096732488164222%,0.13207705114730312%,0.15160957279584794%,0.16091077358086928%,0.1664914940518821%,0.17021197436589064%,0.17207221452289492%,0.17393245467989918%,0.17858305507240985%,0.18602401570042693%,0.19253485624994188%,0.19997581687795896%,0.2120673778984867%,0.21485773813399311%,0.21578785821249521%,0.21671797829099737%,0.22136857868350807%,0.22136857868350807%,0.2232288188405123%,0.2232288188405123%,0.22415893891901445%,0.22415893891901445%,0.22415893891901445%,0.22601917907601873%,0.22694929915452083%,0.22787941923302296%,0.22880953931152512%,0.22880953931152512%,0.22973965939002725%,0.23159989954703153%,0.2343902597825379%,0.23532037986104007%,0.23532037986104007%
D5,2013,5,134182.0,0.0%,0.010433590198387264%,0.03875333502258127%,0.0611110283048397%,0.07676141360242059%,0.08570449091532396%,0.0924117989000015%,0.09688333755645318%,0.09837385044193707%,0.10060961977016292%,0.10210013265564682%,0.10582641486935654%,0.1095526970830663%,0.11178846641129213%,0.11327897929677602%,0.11700526151048576%,0.11849577439596966%,0.11998628728145354%,0.1222220566096794%,0.12296731305242133%,0.12371256949516328%,0.12371256949516328%,0.12520308238064717%,0.12520308238064717%,0.12594833882338913%,0.12743885170887304%,0.1304198774798408%,0.1304198774798408%,0.1304198774798408%,0.1304198774798408%,0.13116513392258275%,0.1319103903653247%,0.1334009032508086%,0.1334009032508086%,0.13414615969355057%,0.13414615969355057%
D6,2013,6,254760.0,0.0%,0.004317789291882556%,0.02041136756162663%,0.038860103626943004%,0.054953681896687076%,0.06358926048045219%,0.0682995760715968%,0.0722248390642173%,0.07340241796200346%,0.08086041764798241%,0.08831841733396138%,0.09302873292510598%,0.10284189040665724%,0.10951483749411212%,0.11383262678599465%,0.11854294237713928%,0.11932799497566338%,0.12207567907049774%,0.12286073166902181%,0.12443083686607002%,0.12443083686607002%,0.12639346836238027%,0.12796357355942847%,0.12874862615795257%,0.1303187313550008%,0.13228136285131104%,0.13267388915057307%,0.13385146804835926%,0.13463652064688333%,0.13542157324540743%,0.1365991521431936%,0.13856178363950386%,0.13934683623802796%,0.1413094677343382%,0.1428795729313864%,0.14562725702622076%
D7,2013,7,210288.0,0.0%,0.007608612949859241%,0.0185459940652819%,0.030909990108803163%,0.04137183291485962%,0.04945598417408506%,0.05135813741154987%,0.05373582895838089%,0.06039336528950773%,0.06419767176443734%,0.06705090162063457%,0.06847751654873316%,0.07085520809556418%,0.07180628471429658%,0.0737084379517614%,0.0760861294985924%,0.07751274442669101%,0.07846382104542342%,0.07846382104542342%,0.07846382104542342%,0.08036597428288822%,0.08131705090162064%,0.08321920413908544%,0.08512135737655026%,0.08559689568591645%,0.08607243399528267%,0.08702351061401506%,0.08702351061401506%,0.08749904892338127%,0.08749904892338127%,0.08797458723274747%,0.08845012554211368%,0.08892566385147987%,0.08892566385147987%,0.08940120216084609%,0.09035227877957848%
D8,2013,8,134132.0,0.0%,0.006709808248590941%,0.01640175349655563%,0.038022246742015334%,0.05069632898935377%,0.05591506873825784%,0.0670980824859094%,0.08349983598246503%,0.09915605522917723%,0.11183013747651568%,0.12301315122416724%,0.1282318909730713%,0.13345063072197536%,0.1401604389705663%,0.14090597322040976%,0.14836131571884412%,0.15059791846837445%,0.15283452121790475%,0.1535800554677482%,0.1580532609668088%,0.16028986371633913%,0.16178093221602602%,0.16401753496555632%,0.16699967196493007%,0.16998180896430382%,0.16998180896430382%,0.17072734321414726%,0.1714728774639907%,0.173709480213521%,0.1752005487132079%,0.1759460829630513%,0.17818268571258164%,0.18191035696179883%,0.18638356246085946%,0.18638356246085946%,0.19085676795992007%
D9,2013,9,192680.0,0.0%,0.0010379904504878555%,0.0093419140543907%,0.01920282333402533%,0.023873780361220676%,0.028025742163172097%,0.03684866099231887%,0.03996263234378244%,0.044633589370977785%,0.05034253684866099%,0.052937512974880634%,0.05345650820012456%,0.05397550342536849%,0.055013493875856335%,0.05812746522731991%,0.05864646045256384%,0.061241436578783476%,0.061760431804027405%,0.061760431804027405%,0.06331741747975919%,0.06435540793024704%,0.0653933983807349%,0.06591239360597882%,0.06643138883122275%,0.06695038405646668%,0.06746937928171061%,0.06746937928171061%,0.06850736973219847%,0.06850736973219847%,0.06954536018268631%,0.0711023458584181%,0.0711023458584181%,0.07162134108366203%,0.07162134108366203%,0.07265933153414988%,0.07369732198463774%
DA,2013,10,53678.0,0.0%,0.0%,0.009314803085062781%,0.02049256678713812%,0.029807369872200902%,0.033533291106226014%,0.037259212340251126%,0.03912217295726368%,0.04098513357427624%,0.04471105480830135%,0.04657401542531391%,0.05216289727635158%,0.05216289727635158%,0.05588881851037669%,0.05588881851037669%,0.05588881851037669%,0.05588881851037669%,0.05588881851037669%,0.05588881851037669%,0.05775177912738925%,0.059614739744401804%,0.06334066097842692%,0.06334066097842692%,0.06334066097842692%,0.06520362159543946%,0.06520362159543946%,0.06520362159543946%,0.06520362159543946%,0.06706658221245203%,0.06706658221245203%,0.06706658221245203%,0.06706658221245203%,0.06706658221245203%,0.06706658221245203%,0.06706658221245203%,0.06706658221245203%
DB,2013,11,89941.0,0.0%,0.0%,0.0011118399839895041%,0.005559199919947521%,0.011118399839895042%,0.021124959695800583%,0.025572319631758596%,0.03446703950367463%,0.04558543934356967%,0.052256479247506704%,0.052256479247506704%,0.0555919991994752%,0.056703839183464715%,0.05892751915144372%,0.05892751915144372%,0.05892751915144372%,0.06337487908740173%,0.06671039903937026%,0.06782223902335976%,0.06893407900734926%,0.07004591899133877%,0.07004591899133877%,0.07449327892729679%,0.07449327892729679%,0.07449327892729679%,0.0767169588952758%,0.0767169588952758%,0.0767169588952758%,0.0767169588952758%,0.07782879887926529%,0.07782879887926529%,0.0789406388632548%,0.08227615881522332%,0.08227615881522332%,0.08449983878320233%,0.08449983878320233%
DC,2013,12,130233.0,0.0007678545376363902%,0.0015357090752727803%,0.0069106908387275125%,0.013053527139818633%,0.016892799828000585%,0.021499927053818924%,0.026107054279637266%,0.030714181505455605%,0.03301774511836478%,0.03378559965600117%,0.03378559965600117%,0.03455345419363756%,0.03455345419363756%,0.03532130873127395%,0.03532130873127395%,0.0391605814194559%,0.04069629049472868%,0.04299985410763785%,0.044535563182910624%,0.045303417720547016%,0.04607127225818341%,0.047606981333456186%,0.04837483587109258%,0.04991054494636536%,0.04991054494636536%,0.04991054494636536%,0.04991054494636536%,0.051446254021638146%,0.051446254021638146%,0.05221410855927453%,0.05221410855927453%,0.05298196309691092%,0.05298196309691092%,0.05298196309691092%,0.0545176721721837%,0.0545176721721837%
