SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
E2,2014,2,72569.0,0.0%,0.0%,0.006889994350204633%,0.01240198983036834%,0.01929198418057297%,0.020669983050613898%,0.020669983050613898%,0.022047981920654824%,0.02342598079069575%,0.02342598079069575%,0.02342598079069575%,0.02342598079069575%,0.02342598079069575%,0.02342598079069575%,0.02342598079069575%,0.02342598079069575%,0.02480397966073668%,0.026181978530777604%,0.026181978530777604%,0.02755997740081853%,0.028937976270859457%,0.028937976270859457%,0.030315975140900387%,0.030315975140900387%,0.030315975140900387%,0.03169397401094131%,0.03169397401094131%,0.03169397401094131%,0.03169397401094131%,0.03307197288098224%,0.03307197288098224%,0.03307197288098224%,0.03307197288098224%,0.03582797062106409%,0.03582797062106409%,0.03582797062106409%
E3,2014,3,72020.0,0.0%,0.0013885031935573452%,0.004165509580672035%,0.00833101916134407%,0.01666203832268814%,0.020827547903360177%,0.027770063871146906%,0.030547070258261595%,0.037489586226048324%,0.04026659261316301%,0.0430435990002777%,0.044432102193835046%,0.044432102193835046%,0.04720910858094974%,0.04720910858094974%,0.051374618161621775%,0.05970563732296584%,0.06803665648430991%,0.07220216606498195%,0.07497917245209665%,0.07775617883921132%,0.0833101916134407%,0.08886420438767009%,0.08886420438767009%,0.09302971396834213%,0.09858372674257151%,0.10274923632324355%,0.10274923632324355%,0.10691474590391557%,0.11108025548458762%,0.11108025548458762%,0.11108025548458762%,0.116634268258817%,0.12774229380727575%,0.13468480977506248%,0.14301582893640657%
E4,2014,4,108051.0,0.0%,0.001850977779011763%,0.0027764666685176445%,0.008329400005552934%,0.02036075556912939%,0.02961564446418821%,0.03701955558023526%,0.04534895558578819%,0.050901888922823484%,0.05645482225985877%,0.05830580003887054%,0.06200775559689406%,0.06570971115491758%,0.0694116667129411%,0.07589008893948228%,0.08236851116602345%,0.09347437784009403%,0.10643122229317638%,0.11290964451971754%,0.11568611118823519%,0.12216453341477637%,0.12401551119378812%,0.12771746675181164%,0.13141942230983517%,0.13419588897835283%,0.13697235564687046%,0.14345077787341162%,0.14622724454192929%,0.15270566676847044%,0.15455664454748222%,0.15548213343698808%,0.16288604455303513%,0.1749174001166116%,0.17769386678512925%,0.18232131123265866%,0.1897252223487057%
E5,2014,5,236227.0,0.0%,0.0%,0.008043111075363952%,0.01142968415972772%,0.017779508692909785%,0.01947279523509167%,0.024975976497182795%,0.02793922794600109%,0.03047915775927392%,0.03301908757254675%,0.037252303928001454%,0.03894559047018334%,0.041485520283456166%,0.04360212846118352%,0.04698870154554729%,0.054185169349820296%,0.05841838570527501%,0.06138163715409331%,0.06392156696736613%,0.06561485350954803%,0.06646149678063897%,0.06688481841618443%,0.06730814005172991%,0.06942474822945727%,0.07069471313609367%,0.07450460785600291%,0.07873782421145763%,0.08127775402473045%,0.08297104056691233%,0.08381768383800328%,0.08551097038018515%,0.0876275785579125%,0.08974418673563987%,0.09016750837118534%,0.09186079491336722%,0.09270743818445817%
E6,2014,6,255866.0,0.0%,0.0011724887245667653%,0.003908295748555885%,0.008207421071967357%,0.010943228095956476%,0.01250654639537883%,0.014069864694801185%,0.016414842143934714%,0.017196501293645892%,0.019150649167923833%,0.0203231378924906%,0.022277285766768542%,0.02266811534162413%,0.025403922365613254%,0.027358070239891192%,0.030093877263880315%,0.0304847068387359%,0.032048025138158256%,0.032438854713013845%,0.032438854713013845%,0.033611343437580606%,0.034393002587291784%,0.03556549131185855%,0.03556549131185855%,0.03673798003642532%,0.037910468760992085%,0.039082957485558845%,0.03986461663527002%,0.0406462757849812%,0.04220959408440356%,0.044554571533537084%,0.04533623068324826%,0.04650871940781503%,0.048072037707237385%,0.04924452643180415%,0.049635356006659734%
E7,2014,7,335403.0,0.0%,0.0011925951765488084%,0.0038759343237836272%,0.006857422265155649%,0.011329654177213681%,0.011925951765488083%,0.014907439706860105%,0.015503737295134509%,0.019379671618918137%,0.021764861972015756%,0.023851903530976167%,0.026237093884073782%,0.027131540266485392%,0.03130562338440622%,0.03309451614922943%,0.034585260119915445%,0.03637415288473866%,0.03726859926715027%,0.038461194443699075%,0.03965378962024788%,0.04174083117920829%,0.04352972394403151%,0.04472231912058031%,0.04800195585608954%,0.050387146209187154%,0.05277233656228478%,0.05396493173883358%,0.056051973297793996%,0.057244568474342804%,0.05933161003330322%,0.05992790762157763%,0.06141865159226364%,0.06261124676881244%,0.06320754435708685%,0.06410199073949845%,0.06469828832777286%
E8,2014,8,373211.0,0.0%,0.0008038348280195386%,0.0021435595413854362%,0.005090953910790411%,0.00589478873880995%,0.006698623566829489%,0.008038348280195385%,0.009913962878907641%,0.0117895774776199%,0.012861357248312617%,0.014736971847024874%,0.01580875161771759%,0.017684366216429846%,0.019827925757815282%,0.02170354035652754%,0.02197148529920072%,0.02250737518454708%,0.0235791549552398%,0.024382989783259337%,0.025722714496625235%,0.02759832909533749%,0.02920599875137657%,0.030545723464742467%,0.031349558292762%,0.03295722794880108%,0.03510078749018652%,0.03536873243285969%,0.035904622318206056%,0.03617256726087924%,0.03697640208889877%,0.03751229197424513%,0.03751229197424513%,0.03938790657295739%,0.039655851515630565%,0.04153146611434283%,0.042871190827708724%
E9,2014,9,540253.0,0.0%,0.0005552953893823819%,0.00277647694691191%,0.0044423631150590556%,0.00573805235695128%,0.006848643135716045%,0.008699627766990651%,0.011661203177030021%,0.014622778587069393%,0.01758435399710876%,0.021101224796530513%,0.0225820125015502%,0.024618095595952266%,0.027949867932246557%,0.030726344879158467%,0.03239223104730562%,0.032947526436687996%,0.034058117215452766%,0.03461341260483514%,0.03516870799421752%,0.03738988955174705%,0.03887067725676674%,0.04164715420367865%,0.044053434224335636%,0.046829911171247546%,0.047570305023757385%,0.0512722742863066%,0.05201266813881644%,0.0536785543069636%,0.054974243548855814%,0.05571463740136565%,0.05664012971700296%,0.057935818958895186%,0.05867621281140503%,0.05923150820078741%,0.059786803590169794%
EA,2014,10,378458.0,0.0%,0.0015853806763233965%,0.002378071014485095%,0.006341522705293586%,0.00739844315617585%,0.010569204508822644%,0.012418815297866606%,0.014004195974190004%,0.01611803687595453%,0.019817258454042457%,0.024044940257571513%,0.026158781159336043%,0.029329542511982835%,0.03144338341374736%,0.032500303864629626%,0.03434991465367359%,0.03567106521727642%,0.03725644589359982%,0.03804913623176152%,0.03937028679536435%,0.04069143735896717%,0.04201258792257001%,0.04386219871161397%,0.045447579387937365%,0.047297190176981335%,0.04835411062786359%,0.04941103107874586%,0.051789102093230954%,0.05284602254411321%,0.05495986344587775%,0.05575255378403944%,0.057337934460362845%,0.05865908502396567%,0.061037156038450766%,0.06288676682749472%,0.06288676682749472%
EB,2014,11,540879.0,0.0%,0.0007395369389456792%,0.0031430319905191365%,0.004437221633674075%,0.00831979056313889%,0.012017475257867286%,0.014605854544177163%,0.01793377076943272%,0.020707034290479015%,0.023295413576788892%,0.02625356133257161%,0.027547750975726547%,0.028841940618881488%,0.02976636179256359%,0.030690782966245684%,0.03180008837466421%,0.03309427801781915%,0.03438846766097408%,0.03623731000833828%,0.03679196271254754%,0.03919545776412099%,0.04159895281569445%,0.043447795163058654%,0.04437221633674075%,0.04622105868410494%,0.04770013256199631%,0.04770013256199631%,0.049179206439887664%,0.050473396083042604%,0.05139781725672471%,0.05250712266514322%,0.05343154383882531%,0.055095501951453095%,0.05638969159460804%,0.05694434429881729%,0.05712922853355371%
